,1,2,3,4,5,6,7,8,9,10
0,7176.0,6775.0,12247.0,12112.0,6978.0,8591.0,12718.0,7416.0,7574.0,7804.0
1,5580.0,6318.0,9800.0,10031.0,5718.0,7099.0,10073.0,6333.0,6206.0,5394.0
2,5471.0,6763.0,8001.0,8857.0,5974.0,6749.0,7049.0,5038.0,4699.0,5696.0
3,4892.0,5618.0,7772.0,9472.0,4999.0,6282.0,8234.0,6084.0,5340.0,5419.0
4,4881.0,4810.0,9292.0,10512.0,5159.0,6829.0,7115.0,4997.0,5855.0,5556.0
5,4952.0,2630.0,4455.0,9719.0,1760.0,3829.0,4236.0,2660.0,4657.0,4402.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4717.0,3995.0,4566.0,7794.0,4045.0,5908.0,6385.0,4128.0,4761.0,4685.0
8,3900.0,4075.0,5041.0,7121.0,3916.0,5861.0,6780.0,4358.0,2724.0,4470.0
9,4008.0,4198.0,4827.0,6537.0,3546.0,4454.0,5921.0,3508.0,3761.0,4640.0
10,4044.0,2973.0,4463.0,7088.0,3401.0,5235.0,6779.0,4833.0,3702.0,4460.0
11,4127.0,3441.0,5390.0,7857.0,4227.0,5553.0,7010.0,3619.0,5325.0,4962.0
12,5182.0,2399.0,3938.0,9455.0,1698.0,3702.0,4451.0,2357.0,4883.0,4441.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5394.0,6311.0,6014.0,11667.0,6217.0,6764.0,10832.0,7589.0,4658.0,6178.0
15,5720.0,5803.0,7961.0,9977.0,5680.0,7066.0,9074.0,5893.0,6065.0,5215.0
16,5578.0,5974.0,7863.0,9236.0,6110.0,7343.0,7664.0,6469.0,4904.0,5218.0
17,5195.0,5091.0,7910.0,8516.0,4397.0,5844.0,7690.0,6114.0,5237.0,4736.0
18,5586.0,4589.0,7565.0,9730.0,4960.0,6433.0,8360.0,5251.0,5501.0,5404.0
19,5598.0,2205.0,3902.0,9323.0,1570.0,3443.0,3774.0,2366.0,4544.0,4789.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4055.0,3549.0,5352.0,7374.0,3089.0,6209.0,6483.0,3459.0,4683.0,4489.0
22,3725.0,3461.0,5375.0,7559.0,3569.0,5411.0,6480.0,3846.0,3941.0,4374.0
23,4601.0,4446.0,4920.0,7601.0,4273.0,5751.0,5401.0,3638.0,4341.0,3986.0
24,4709.0,4340.0,5682.0,10359.0,4392.0,6458.0,7072.0,5680.0,5098.0,4867.0
25,5633.0,4545.0,6725.0,9332.0,4241.0,6601.0,8721.0,4406.0,5610.0,4470.0
26,5970.0,2956.0,5155.0,11123.0,1757.0,3927.0,5752.0,2399.0,5862.0,4357.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7032.0,6480.0,10913.0,13937.0,6846.0,7954.0,11182.0,8273.0,7431.0,7617.0
29,6049.0,6269.0,9372.0,11353.0,5662.0,7334.0,9502.0,6901.0,6691.0,5423.0
30,6140.0,6438.0,9084.0,10095.0,5724.0,6871.0,8303.0,6237.0,6396.0,5539.0
31,5499.0,5575.0,7786.0,10162.0,4889.0,6193.0,8664.0,6833.0,5320.0,5838.0
32,5681.0,4203.0,7945.0,9965.0,4764.0,6623.0,8091.0,6035.0,5876.0,5655.0
33,5370.0,3031.0,4324.0,10095.0,1709.0,3851.0,4437.0,2487.0,5498.0,4477.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4409.0,4303.0,5541.0,8907.0,3978.0,5695.0,7457.0,4215.0,3745.0,4433.0
36,4015.0,3968.0,5725.0,7800.0,3178.0,5119.0,6506.0,3503.0,4570.0,4506.0
37,4252.0,5001.0,5111.0,7983.0,4412.0,4804.0,7005.0,3993.0,4613.0,4953.0
38,4241.0,4439.0,5912.0,8239.0,3908.0,5056.0,6520.0,5316.0,4491.0,4111.0
39,4809.0,3812.0,5159.0,7993.0,3811.0,5215.0,7677.0,3737.0,4832.0,4385.0
40,6154.0,2401.0,4000.0,9757.0,1740.0,3779.0,5140.0,2488.0,5292.0,4340.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,6407.0,7493.0,10793.0,13163.0,8397.0,8262.0,11148.0,8184.0,6933.0,7495.0
43,5386.0,5734.0,7997.0,9719.0,3906.0,6450.0,8497.0,6351.0,5713.0,6049.0
44,5660.0,6116.0,7862.0,8906.0,5517.0,6535.0,7120.0,6324.0,5231.0,5200.0
45,5261.0,5276.0,7517.0,9303.0,4778.0,6252.0,7735.0,6562.0,5328.0,5969.0
46,5000.0,4552.0,7993.0,10623.0,4874.0,6796.0,8043.0,5493.0,5254.0,5285.0
47,5237.0,1919.0,3688.0,9708.0,1425.0,3403.0,4233.0,2122.0,4676.0,4534.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,4038.0,3084.0,5072.0,7158.0,3372.0,5660.0,6839.0,4241.0,4373.0,4822.0
50,3794.0,3919.0,5154.0,7199.0,3664.0,5471.0,6464.0,4031.0,3925.0,4403.0
51,4558.0,4741.0,5172.0,7256.0,3634.0,5280.0,6381.0,4152.0,4032.0,4414.0
52,4676.0,4859.0,6167.0,10697.0,4940.0,6524.0,7413.0,5545.0,5134.0,4681.0
53,4611.0,4290.0,6575.0,9873.0,4082.0,6755.0,8052.0,4465.0,5578.0,4775.0
54,5350.0,2643.0,5037.0,10541.0,1939.0,4257.0,5240.0,2574.0,5505.0,4620.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,7675.0,7993.0,11004.0,13382.0,7926.0,8596.0,11946.0,8279.0,7785.0,7280.0
57,6300.0,6357.0,9878.0,9844.0,6131.0,8057.0,9821.0,7947.0,6108.0,7003.0
58,5973.0,6842.0,8729.0,9357.0,6027.0,7243.0,8802.0,5977.0,5988.0,5115.0
59,5637.0,5747.0,8479.0,9190.0,4430.0,6867.0,7698.0,6875.0,5227.0,5460.0
60,5853.0,4822.0,8174.0,10245.0,4744.0,6630.0,8322.0,5223.0,5788.0,5350.0
61,5578.0,2208.0,3778.0,9936.0,1558.0,3450.0,5013.0,2263.0,5610.0,4213.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,4949.0,3778.0,4968.0,8395.0,3343.0,5680.0,6325.0,3641.0,4312.0,5401.0
64,3853.0,2991.0,5452.0,7676.0,2809.0,5579.0,7182.0,3729.0,4258.0,4807.0
65,4341.0,3874.0,5391.0,7522.0,3486.0,5129.0,6538.0,3973.0,4521.0,4609.0
66,5108.0,3964.0,4993.0,7112.0,3488.0,5697.0,6752.0,4878.0,4229.0,4914.0
67,4925.0,4181.0,6933.0,7849.0,3839.0,5838.0,8083.0,4424.0,4748.0,5135.0
68,5003.0,2956.0,4249.0,9446.0,1717.0,3750.0,5335.0,2512.0,4642.0,3885.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,7072.0,7593.0,11199.0,11643.0,7297.0,7907.0,8415.0,7418.0,7244.0,6766.0
71,6563.0,6224.0,9725.0,10301.0,4930.0,6603.0,8576.0,6587.0,5996.0,5584.0
72,5598.0,6783.0,8459.0,9149.0,6085.0,7506.0,8934.0,7031.0,5096.0,3927.0
73,5179.0,5322.0,8245.0,9466.0,5027.0,6335.0,7976.0,6808.0,5414.0,4623.0
74,5506.0,4955.0,8355.0,10190.0,4862.0,6745.0,9776.0,4778.0,6215.0,5158.0
75,5603.0,2691.0,4200.0,9875.0,2153.0,3582.0,5347.0,2284.0,4557.0,4285.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,6729.0,8412.0,10181.0,11548.0,7563.0,8285.0,12717.0,7724.0,6717.0,6513.0
78,6686.0,6384.0,9991.0,10381.0,6086.0,8286.0,10454.0,7070.0,6257.0,5495.0
79,6660.0,7880.0,9033.0,11014.0,6477.0,8296.0,10734.0,6482.0,6816.0,5639.0
80,7285.0,7229.0,9884.0,16910.0,7945.0,10228.0,13770.0,8966.0,8515.0,7243.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
